Company,Website,Industry,HQ,Employees,Revenue_Cr,Logistics_Spend_Cr,Tier,Account_Type,Key_Locations
"Alstom India",,"Steel & Metals","Bangalore",3000,3500,72,Tier2,Expansion,"Sri City (AP), Bangalore"
"NRL (Numaligarh)",,"Other","Numaligarh",2000,25000,72,Tier1,Penetration,"Numaligarh (AS)"
"BigBasket (Tata)",,"FMCG","Bangalore",10000,8000,72,Tier1,Penetration,"Metro hubs"
"Cairn Oil & Gas",,"Other","Gurugram",3000,25000,72,Tier1,Expansion,"Barmer (RJ), Ravva, Cambay"
"Optiemus Electronics",,"FMCG","Noida",2000,2500,72,Tier2,Penetration,"Noida (UP), Greater Noida"
"Adani Total Gas",,"Other","Ahmedabad",2000,5000,72,Tier1,Penetration,"Pan-India"
"Nitin Spinners",,"FMCG","Bhilwara",5500,2200,72,Tier2,Penetration,"Bhilwara (RJ), Hamirgarh (RJ)"
"AGI Greenpac",,"Cement","Hyderabad",3000,2200,72,Tier2,Expansion,"Hyderabad (TS), Bhongir (TS), Srikakulam (AP), Baddi"
"BHEL (O&G Equipment)",,"Other","Delhi",2000,5000,72,Tier1,Penetration,"Trichy, Haridwar"
"Technip FMC",,"Other","",1500,6000,72,Tier1,Penetration,"Pan-India"
"DS Group (Catch)",,"FMCG","Noida",3000,6000,71,Tier1,Penetration,"Noida (UP), Kosi (UP), Haridwar"
"Sungrow India",,"Other","",600,2500,70,Tier2,Penetration,"Bangalore (KA)"
"Xinyi Glass (India)",,"Cement","",500,2000,70,Tier2,Penetration,"Gujarat (Planned)"
"NAYARA Energy",,"Other","Mumbai",1500,4000,70,Tier2,Penetration,"Vadinar (GJ)"
"CNH (New Holland)",,"Auto & Engineering","Noida",2800,6000,70,Tier1,Penetration,"Greater Noida (UP)"
"Amazon India (Furniture)",,"Cement","Bangalore",3000,5000,70,Tier1,Penetration,"Fulfillment centers"
"Modern Coach Factory",,"Steel & Metals","Rae Bareli",5000,3000,70,Tier2,Penetration,"Rae Bareli (UP)"
"Yamaha India",,"Auto & Engineering","Chennai",3500,7000,70,Tier1,Penetration,"Chennai (TN), Surajpur (UP), Faridabad"
"Pharma Companies",,"Chemical","",,,70,Tier2,Penetration,"Hyderabad, Mumbai, Ahmedabad"
"MDH Spices",,"Agri & Food","Delhi",4000,2500,70,Tier2,Penetration,"Delhi, Gurgaon, Nagpur"
"Nuziveedu Seeds",,"Chemical","Hyderabad",2500,1800,69,Tier2,Penetration,"Hyderabad (TS), Guntur (AP), Ranebennur (KA)"
"Everest Masala",,"FMCG","Mumbai",3000,2200,69,Tier2,Penetration,"Jogeshwari (MH), Baddi (HP)"
"Granules India",,"FMCG","Hyderabad",5500,5000,69,Tier1,Penetration,"Hyderabad (TS), Gagillapur (TS)"
"Globus Spirits",,"FMCG","Delhi",1200,2200,69,Tier2,Penetration,"Behror (RJ), Jhunjhunu (RJ), WB"
"Indorama Fertilizers",,"Chemical","Singapore",800,3500,69,Tier2,Penetration,"Kakinada (AP)"
"SP Apparels",,"FMCG","Tirupur",15000,2000,69,Tier2,Penetration,"Tirupur (TN), Avinashi (TN)"
"Godrej Process Equipment",,"Auto & Engineering","Mumbai",2500,3000,68,Tier2,Expansion,"Vikhroli (MH), Dahej (GJ)"
"Glencore India",,"Other","Zug",200,15000,68,Tier1,Penetration,"Import"
"Foundry Cluster (Coimbatore)",,"Steel & Metals","Coimbatore",20000,5000,68,Tier1,Penetration,"Coimbatore (TN)"
"SAIL (Scrap)",,"Steel & Metals","Delhi",1000,3500,68,Tier2,Penetration,"Bokaro, Durgapur, Bhilai, Rourkela, Burnpur"
"Sandhar Technologies",,"Steel & Metals","Gurugram",6000,3200,68,Tier2,Penetration,"Gurugram (HR), Pune, Chennai, Bangalore"
"Linde Engineering",,"Auto & Engineering","Mumbai",1500,3000,68,Tier2,Penetration,"Vadodara (GJ), Pune"
"Supreme Petrochem",,"Chemical","Mumbai",800,3200,68,Tier2,Expansion,"Amdoshi (MH)"
"CavinKare",,"FMCG","Chennai",4000,2000,68,Tier2,Penetration,"Chennai (TN), Puducherry, Haridwar"
"JSPL (Captive Coal)",,"Other","Delhi",3000,12000,68,Tier1,Penetration,"Angul (OD), Raigarh (CG)"
"Volvo CE India",,"Auto & Engineering","Bangalore",2000,3000,68,Tier2,Penetration,"Bangalore (KA)"
"GMDC",,"Other","Ahmedabad",4000,3500,67,Tier2,Expansion,"Gujarat (Kutch, Panandhro, Mata-no-Madh)"
"BPCL (Pipelines)",,"Steel & Metals","Mumbai",,,67,Tier2,Penetration,"Pan-India pipelines"
"BHEL",,"Steel & Metals","Delhi",,,67,Tier2,Penetration,"Pan-India"
"Apar Industries (Cables)",,"Auto & Engineering","Mumbai",2000,3500,66,Tier2,Expansion,"Umbergaon (GJ), Jharsuguda (OD), Silvassa"
"IMFA (Indian Metals)",,"Steel & Metals","Bhubaneswar",3500,2500,66,Tier2,Expansion,"Choudwar (OD), Therubali, Bamnipal"
"L&T Realty",,"Cement","Mumbai",,,66,Tier2,Penetration,"Pan-India projects"
"Chittaranjan Loco Works",,"Steel & Metals","Chittaranjan",8000,2500,66,Tier2,Penetration,"Chittaranjan (WB)"
"Jindal Poly Films",,"Chemical","Delhi",2500,3500,66,Tier2,Penetration,"Nasik (MH), Silvassa, Bangalore"
"Ratnamani Metals",,"Steel & Metals","Ahmedabad",2200,5500,66,Tier1,Expansion,"Chhatral (GJ), Kutch (GJ)"
"Prysmian India",,"Auto & Engineering","",1500,3000,66,Tier2,Penetration,"Chennai (TN), Bangalore"
"Madras Fertilizers",,"Chemical","Chennai",2000,3500,66,Tier2,Penetration,"Manali (TN)"
"ACC Ready Mix",,"Cement","Mumbai",2000,3000,66,Tier2,Penetration,"Pan-India"
"Tata Metaliks",,"Steel & Metals","Kolkata",2000,3500,66,Tier2,Expansion,"Kharagpur (WB)"
"Synthite Industries",,"Agri & Food","Cochin",3000,2500,66,Tier2,Penetration,"Cochin (KL), Bangalore"
"JBF Industries",,"Chemical","Mumbai",2500,4000,66,Tier2,Expansion,"Sarigam (GJ), Silvassa"
"Avanti Feeds",,"Agri & Food","Hyderabad",2000,5000,66,Tier1,Penetration,"Kovvur (AP), Chennai, Puri (OD)"
"Air Liquide India",,"Chemical","Chennai",1500,2000,65,Tier2,Expansion,"Gujarat, Tamil Nadu, Maharashtra, Karnataka"
"Dollar Industries",,"FMCG","Kolkata",8000,1800,65,Tier2,Penetration,"Kolkata (WB), Tirupur (TN)"
"Amazon India",,"Other","Bangalore",35000,90000,65,Tier1,Expansion,"Delhi, Mumbai, Bangalore, Hyderabad, Chennai, Kolkata"
"Shriram Pistons (Shriram Fert)",,"Chemical","Delhi",1000,3500,65,Tier2,Penetration,"Kota (RJ)"
"Big Basket (Private Label)",,"FMCG","Bangalore",3000,2000,65,Tier2,Penetration,"Bangalore, Delhi, Mumbai"
"Exxon Mobil India",,"Chemical","Mumbai",500,6000,65,Tier1,Penetration,"/"
"Videocon (VVCL)",,"FMCG","Mumbai",3000,2000,65,Tier2,Penetration,"Aurangabad (MH), Nanded (MH), Kashipur (UK)"
"NPCIL",,"Auto & Engineering","Mumbai",18000,15000,65,Tier1,Penetration,"Pan-India"
"Kaynes Technology",,"FMCG","Mysore",2500,2200,65,Tier2,Penetration,"Mysore (KA), Manesar (HR), Pune (MH)"
"John Distilleries",,"FMCG","Bangalore",1500,2000,65,Tier2,Penetration,"Goa, Karnataka, Andhra Pradesh"
"Greenko",,"Other","Hyderabad",2500,8000,65,Tier1,Penetration,"Pan-India"
"Rossari Biotech",,"Chemical","Mumbai",1200,2000,65,Tier2,Penetration,"Silvassa, Dahej (GJ)"
"GNFC",,"Chemical","Bharuch",3500,8000,65,Tier1,Expansion,"Bharuch (GJ)"
"Alkyl Amines",,"Chemical","Pune",1000,2000,65,Tier2,Penetration,"Patalganga (MH), Kurkumbh (MH), Dahej"
"Tata Power (Cables)",,"Auto & Engineering","Mumbai",,,65,Tier2,Penetration,"Pan-India projects"
"Chambal Fertilisers (IPL)",,"FMCG","Delhi",500,2000,65,Tier2,Penetration,"Kota (RJ), Delhi, Mumbai"
"Dabur (Real Juice)",,"FMCG","Delhi",1200,2000,65,Tier2,Expansion,"Baddi (HP), Haridwar (UK), Silvassa"
"IB Group",,"Agri & Food","Rajnandgaon",8000,5000,65,Tier1,Expansion,"Rajnandgaon (CG), Parbhani (MH), Hyderabad"
"Usha International",,"FMCG","Gurugram",2500,2200,65,Tier2,Penetration,"Ludhiana (PB), Solan (HP)"
"Ghaziabad Re-rollers",,"Steel & Metals","UP",6000,10000,64,Tier1,Penetration,"Ghaziabad (UP)"
"John Deere India",,"Auto & Engineering","Pune",3200,5500,64,Tier1,Penetration,"Pune (MH), Dewas (MP)"
"Nilkamal",,"Cement","Mumbai",3500,3000,64,Tier2,Expansion,"Ahmedabad, Hosur, Sinnar, Kundli"
"CNH (New Holland)",,"Auto & Engineering","Noida",2500,6000,64,Tier1,Penetration,"Greater Noida (UP)"
"Ambuja Cement",,"Cement","Mumbai",5000,,63,Tier2,Penetration,"Pan-India"
"Bombardier India",,"Steel & Metals","Canada",2000,2500,63,Tier2,Penetration,"Savli (GJ), Vadodara"
"Everest Masala",,"Agri & Food","Mumbai",3000,2200,63,Tier2,Penetration,"Mumbai (MH), Baddi"
"GlaxoSmithKline (Foods)",,"FMCG","Mumbai",2000,5000,63,Tier1,Penetration,"Sonepat (HR), Rajahmundry (AP)"
"Cargill India (Foods)",,"FMCG","Gurugram",2000,5000,63,Tier1,Penetration,"Kurkumbh (MH), Davangere (KA)"
"Liebherr India",,"Auto & Engineering","Mumbai",1500,2500,62,Tier2,Penetration,"Pune (MH), Aurangabad"
"Marico (Saffola)",,"FMCG","Mumbai",1000,2000,62,Tier2,Expansion,"Perundurai (TN), Baddi (HP), Kanjikode (KL)"
"Gold Plus Glass",,"Cement","Delhi",1500,1800,61,Tier2,Expansion,"Chopanki (RJ), Roorkee (UK)"
"Manaksia Aluminium",,"Steel & Metals","Kolkata",1500,2800,61,Tier2,Penetration,"Jharsuguda (OD), Kolkata, Pune"
"Delta Electronics",,"Other","",500,2000,61,Tier2,Penetration,"Hosur (TN)"
"JSW Energy",,"Other","Mumbai",3000,15000,61,Tier1,Penetration,"Ratnagiri (MH), Vijayanagar (KA)"
"Anupam Rasayan",,"Chemical","Surat",2500,1800,61,Tier2,Penetration,"Sachin (GJ), Jhagadia (GJ), Ankleshwar"
"Precision Wires",,"Steel & Metals","Mumbai",1200,2800,61,Tier2,Penetration,"Vasai (MH), Silvassa, Nashik"
"Rail Wheel Factory",,"Steel & Metals","Bangalore",4000,2500,61,Tier2,Expansion,"Yelahanka (KA), Chhapra (BR)"
"Ineos Styrolution",,"Chemical","Vadodara",600,2800,61,Tier2,Penetration,"Vadodara (GJ)"
"BASF Coatings",,"Chemical","Mumbai",600,1800,61,Tier2,Penetration,"Mangalore (KA), Thane (MH)"
"Rail Coach Factory",,"Steel & Metals","Kapurthala",6000,2500,61,Tier2,Penetration,"Kapurthala (PB)"
"GHCL (Home Textiles)",,"FMCG","Noida",5000,1800,61,Tier2,Penetration,"Vapi (GJ), Mansa (GJ)"
"Strides Pharma",,"FMCG","Bangalore",5000,4500,61,Tier2,Penetration,"Bangalore (KA), Puducherry, Baddi"
"Sintex Industries",,"Chemical","Kalol",3500,2500,61,Tier2,Penetration,"Kalol (GJ), Bhachau (GJ)"
"Ambika Cotton",,"FMCG","Dindigul",4000,1800,61,Tier2,Penetration,"Dindigul (TN), Coimbatore (TN)"
"Electrolux India",,"FMCG","Gurugram",1200,2000,61,Tier2,Penetration,"Roorkee (UK)"
"Ajanta Pharma",,"FMCG","Mumbai",8000,4500,61,Tier2,Penetration,"Aurangabad (MH), Deonar (MH), Baddi"
"Fertilisers & Chem Travancore",,"Chemical","Kochi",2500,3200,61,Tier2,Penetration,"Udyogamandal (KL)"
"Prataap Snacks",,"FMCG","Indore",3500,1800,60,Tier2,Penetration,"Indore (MP), Jammu, Kolkata, Guwahati"
"Tata Projects",,"Steel & Metals","Mumbai",,,60,Tier2,Penetration,"Pan-India projects"
"BMRCL",,"Steel & Metals","Bangalore",2000,5000,60,Tier1,Penetration,"Bangalore projects"
"Shapoorji Pallonji",,"Cement","Mumbai",,,60,Tier2,Penetration,"Pan-India projects"
"Haldiram's",,"FMCG","Nagpur",5000,8000,60,Tier1,Penetration,"Nagpur, Delhi, Kolkata, Chennai, Mumbai"
"Godrej Real Estate",,"Cement","Mumbai",,,60,Tier2,Penetration,"Pan-India projects"
"Yara India",,"Chemical","Gurugram",300,5000,60,Tier1,Penetration,"Import/"
"Tata Projects",,"Cement","Mumbai",,,60,Tier2,Penetration,"Pan-India"
"NMCG (Ganga)",,"Steel & Metals","Delhi",,,60,Tier2,Penetration,"Ganga basin states"
"L&T (Pipelines)",,"Steel & Metals","Mumbai",,,60,Tier2,Penetration,"Pan-India"
"McDonald's (Buyer)",,"FMCG","Mumbai",,,60,Tier2,Penetration,"Pan-India"
"SAIL (Captive)",,"Steel & Metals","Delhi",2000,2000,59,Tier2,Penetration,"All integrated plants"
"SMS Group India",,"Auto & Engineering","",800,2000,59,Tier2,Penetration,"Pune (MH)"
"IOCL (Base Oils)",,"Other","Delhi",800,3000,58,Tier2,Penetration,"Refineries"
"ExxonMobil India",,"Other","Mumbai",400,2500,58,Tier2,Penetration,"Bangalore"
"Shadowfax",,"Other","Bangalore",10000,1500,58,Tier2,Penetration,"Pan-India"
"Servo (IOCL Brand)",,"Other","Delhi",,3000,58,Tier2,Penetration,"Pan-India distributors"
"Hi-Tech Pipes",,"Steel & Metals","Delhi",2000,4500,58,Tier2,Expansion,"Sikandrabad (UP), Khopoli (MH), Sanand (GJ), Bangalore, Chennai"
"HEG Ltd",,"Chemical","Delhi",2500,4500,58,Tier2,Expansion,"Mandideep (MP)"
"Tata AutoComp",,"Chemical","Pune",4000,2500,58,Tier2,Penetration,"Pune (MH), Chennai, Pantnagar"
"Toyo Engineering",,"Other","Mumbai",1000,4000,58,Tier2,Penetration,"Pan-India"
"Saint-Gobain Gyproc",,"Cement","Mumbai",2000,2500,58,Tier2,Expansion,"Bhuj (GJ), Chennai (TN), Haryana, Rajasthan"
"Greenply Industries",,"Cement","Delhi",3000,2500,58,Tier2,Expansion,"Tizit (NL), Kriparampur (WB), Bamanbore (GJ)"
"John Deere India",,"Auto & Engineering","Pune",3000,5500,58,Tier1,Penetration,"Pune (MH), Dewas (MP)"
"Agility Logistics",,"Other","Kuwait",1500,1500,58,Tier2,Penetration,"Pan-India"
"Techint India",,"Auto & Engineering","",700,1800,58,Tier2,Penetration,"Chennai (TN)"
"Gateway Distriparks",,"Other","Mumbai",1500,1500,58,Tier2,Penetration,"Pan-India"
"Phillips Carbon",,"Chemical","Kolkata",2000,4500,58,Tier2,Penetration,"Durgapur, Kochi, Palej, Mundra"
"Hindalco (Captive)",,"Other","Mumbai",2000,,58,Tier2,Penetration,"Odisha, Jharkhand, CG"
"Total Produce (Fyffes)",,"Agri & Food","Ireland",200,1000,58,Tier2,Penetration,"Mumbai, Delhi, Chennai"
"Swaraj (M&M)",,"Auto & Engineering","Mohali",2500,5000,58,Tier1,Penetration,"Mohali (PB)"
"Textile Processors",,"Chemical","",,,58,Tier2,Penetration,"Surat, Tirupur, Ludhiana"
"Adani Power",,"Cement","Ahmedabad",5000,,58,Tier2,Expansion,"Mundra (GJ), Tiroda (MH), Kawai (RJ), Godda (JH)"
"Universal Cables",,"Auto & Engineering","Satna",2000,2500,58,Tier2,Penetration,"Satna (MP), Kharagpur (WB)"
"IOCL (Chemicals)",,"Chemical","Delhi",2000,5000,58,Tier1,Penetration,"Refineries"
"Goodyear India (Rubber)",,"Chemical","Gurugram",2000,2500,58,Tier2,Expansion,"Ballabgarh (HR)"
"KS Oils",,"FMCG","Morena",1000,2000,58,Tier2,Penetration,"Morena (MP), Gwalior, Delhi"
"CEAT Specialty",,"Chemical","Mumbai",2500,3000,58,Tier2,Expansion,"Nagpur (MH), Nashik, Halol"
"Alok Industries",,"Chemical","Mumbai",10000,3000,58,Tier2,Penetration,"Silvassa, Vapi (GJ)"
"AM/NS (Sponge)",,"Steel & Metals","Mumbai",1500,2500,58,Tier2,Penetration,"Hazira (GJ)"
"3F Industries",,"FMCG","Hyderabad",1000,2500,58,Tier2,Penetration,"Kakinada (AP), Chennai"
"Prince Pipes",,"Cement","Mumbai",2500,3000,58,Tier2,Expansion,"Haridwar (UK), Jobner (RJ), Chennai, Kolhapur, Athal"
"McLeod Russel",,"Agri & Food","Kolkata",80000,2500,58,Tier2,Expansion,"Assam, West Bengal"
"Sakthi Masala",,"FMCG","Erode",2000,1800,58,Tier2,Penetration,"Erode (TN), Pollachi (TN)"
"RINL (Vizag Steel)",,"Steel & Metals","Vizag",5000,8000,58,Tier1,Penetration,"Visakhapatnam (AP)"
"Rashtriya Chemicals (RCF)",,"Chemical","Mumbai",4000,6000,57,Tier1,Expansion,"Trombay (MH), Thal"
"Trafigura India",,"Other","Singapore",150,12000,56,Tier1,Penetration,"Import"
"Foundry Cluster (Rajkot)",,"Steel & Metals","Rajkot",12000,4000,56,Tier2,Penetration,"Rajkot (GJ)"
"Texmaco Rail",,"Steel & Metals","Kolkata",3000,2500,56,Tier2,Expansion,"Kolkata (WB), Pantnagar (UK)"
"CESC",,"Other","Kolkata",4000,12000,56,Tier1,Penetration,"Budge Budge (WB), Haldia"
"GSK Pharma India",,"FMCG","Mumbai",3500,4000,56,Tier2,Penetration,"Nashik (MH), Vemgal (KA)"
"Kirloskar Oil Engines",,"Auto & Engineering","Pune",3000,4500,56,Tier2,Penetration,"Pune (MH), Kagal (MH)"
"JSPL (Scrap)",,"Steel & Metals","Delhi",800,2500,56,Tier2,Expansion,"Raigarh (CG), Angul (OD)"
"Indigo Paints",,"Chemical","Pune",1800,1600,55,Tier2,Expansion,"Jodhpur (RJ), Kochi (KL), Pudukkottai (TN), Rajkot (GJ)"
"Serajuddin & Co",,"Other","Kolkata",1500,2500,55,Tier2,Penetration,"Odisha (Joda, Barbil)"
"Butterfly Gandhimathi",,"FMCG","Chennai",2000,1800,55,Tier2,Penetration,"Chennai (TN), Puducherry"
"Southern Petrochemical",,"Chemical","Chennai",1800,2800,55,Tier2,Penetration,"Tuticorin (TN)"
"Sleepwell (Sheela)",,"Cement","Delhi",2500,2500,55,Tier2,Expansion,"Greater Noida, Bhiwadi, Hosur, Kolkata"
"Kitex Garments",,"FMCG","Kochi",15000,1500,55,Tier2,Penetration,"Kizhakkambalam (KL), Anna Nagar (KL)"
"3M India",,"Chemical","Bangalore",2000,4000,55,Tier2,Expansion,"Bangalore (KA), Ranjangaon (MH)"
"Sobha Ltd",,"Cement","Bangalore",,,54,Tier2,Penetration,"Pan-India projects"
"Air Liquide Engg",,"Auto & Engineering","Delhi",1000,2000,54,Tier2,Penetration,"Chennai (TN)"
"Praj Industries",,"Auto & Engineering","Pune",1500,3000,54,Tier2,Expansion,"Pune (MH), Kandla (GJ)"
"Ramkrishna Forgings",,"Steel & Metals","Kolkata",2500,2500,54,Tier2,Penetration,"Jamshedpur (JH), Kolkata"
"EMCO Transformers",,"Auto & Engineering","Jaipur",2500,2000,54,Tier2,Penetration,"Jaipur (RJ)"
"Fuyao Glass (India)",,"Cement","",600,1500,54,Tier2,Penetration,"Chakan (MH)"
"FreshToHome",,"Agri & Food","Kochi",2000,800,53,Tier2,Penetration,"Mumbai, Bangalore, Delhi"
"Himatsingka Seide",,"Chemical","Bangalore",8000,2500,53,Tier2,Penetration,"Hassan (KA), Hindupur (AP), USA"
"Megha Engineering",,"Steel & Metals","Hyderabad",,,53,Tier2,Penetration,"Pan-India"
"MRPL (ONGC)",,"Other","Mangalore",800,3000,53,Tier2,Expansion,"Mangalore (KA)"
"Hindalco (Conductors)",,"Auto & Engineering","Mumbai",1500,3000,53,Tier2,Penetration,"Renukoot (UP), Hirakud (OD)"
"Mahagenco",,"Cement","Mumbai",15000,,53,Tier2,Expansion,"Chandrapur, Koradi, Khaparkheda, Bhusawal, Nashik"
"Rayzon Solar",,"Other","Surat",600,1500,53,Tier2,Penetration,"Surat (GJ)"
"Taj Hotels (IHCL)",,"Cement","Mumbai",,,53,Tier2,Penetration,"Pan-India"
"Halliburton India",,"Other","Mumbai",1200,3000,52,Tier2,Penetration,"Pan-India"
"Camlin Fine Sciences",,"Chemical","Mumbai",1000,1600,52,Tier2,Expansion,"Tarapur (MH), Dahej (GJ)"
"Camlin Fine Sciences",,"Chemical","Mumbai",1000,1600,52,Tier2,Penetration,"Tarapur (MH), Dahej (GJ)"
"NOCIL Ltd",,"Chemical","Mumbai",700,1600,52,Tier2,Penetration,"Navi Mumbai, Dahej (GJ)"
"Kalpataru O&G",,"Other","Mumbai",1500,3500,52,Tier2,Penetration,"Pan-India"
"IGL",,"Other","Delhi",2500,15000,52,Tier1,Penetration,"Delhi NCR"
"Mohan Meakin",,"FMCG","Ghaziabad",2000,1500,52,Tier2,Penetration,"Kasauli (HP), Lucknow (UP), Ghaziabad"
"Saipem India",,"Other","",1000,3000,52,Tier2,Penetration,"Pan-India"
"Kaveri Seed",,"Chemical","Secunderabad",1800,1400,52,Tier2,Penetration,"Hyderabad (TS), Guntur (AP)"
"GSPC",,"Other","Gandhinagar",2000,8000,52,Tier1,Expansion,"Gujarat"
"PCBL (Phillips Carbon)",,"Chemical","Kolkata",1800,4000,52,Tier2,Penetration,"Pan-India"
"Donear Industries",,"FMCG","Surat",3000,1500,51,Tier2,Penetration,"Surat (GJ), Daman"
"Saras (Rajasthan)",,"FMCG","Jaipur",3000,6000,51,Tier1,Penetration,"Jaipur, Jodhpur, Bikaner, Ajmer"
"Ratnamani Metals",,"Steel & Metals","Ahmedabad",2200,5500,51,Tier1,Penetration,"Chhatral (GJ), Kutch (GJ)"
"Borosil Ltd",,"Cement","Mumbai",2500,1500,51,Tier2,Expansion,"Bharuch (GJ), Jaipur (RJ), Tarapur (MH), Hyderabad"
"Syngenta India (Seeds)",,"Agri & Food","Mumbai",1800,4500,51,Tier2,Expansion,"Bangalore (KA), Pune, Karnal"
"AM/NS India (Scrap)",,"Steel & Metals","Mumbai",500,2000,51,Tier2,Penetration,"Hazira (GJ)"
"Sutlej Textiles",,"Chemical","Chandigarh",5000,2500,50,Tier2,Penetration,"Bhawani Mandi (RJ), Baddi (HP), Kathua"
"Nuvoco (RMC)",,"Cement","Mumbai",1200,2000,50,Tier2,Penetration,"Pan-India"
"Kajaria Ceramics",,"Cement","Delhi",,4500,50,Tier2,Expansion,"Morbi (GJ), Sikandrabad, Gailpur, Vijayawada"
"Reliance Power",,"Other","Mumbai",2000,8000,50,Tier1,Penetration,"Sasan (MP), Butibori (MH)"
"Mars Petcare",,"Agri & Food","Mumbai",1000,2500,50,Tier2,Penetration,"Hyderabad, Pune"
"Adani Ports",,"Steel & Metals","Ahmedabad",5000,22000,50,Tier1,Penetration,"ports"
"PSL Ltd",,"Steel & Metals","Ahmedabad",1500,3500,50,Tier2,Penetration,"Kandla (GJ), Vizag (AP), Chennai (TN)"
"Indonesian Coal (Adaro)",,"Other","Indonesia",200,10000,50,Tier1,Penetration,"Indonesia→India ports"
"Balkrishna Industries",,"Chemical","Mumbai",2000,1500,50,Tier2,Penetration,"Bhuj (GJ), Chopanki (RJ)"
"Kaveri Seeds (Grains)",,"FMCG","Secunderabad",1800,1400,50,Tier2,Penetration,"Hyderabad (TS), Guntur (AP)"
"Tata AutoComp (BESS)",,"Other","Pune",800,1500,50,Tier2,Penetration,"Pune (MH)"
"Prashant Ship Breaking",,"Steel & Metals","Bhavnagar",1500,2000,50,Tier2,Expansion,"Alang (GJ)"
"Auto Dismantlers (Delhi)",,"Steel & Metals","Delhi",3000,2000,49,Tier2,Penetration,"Mayapuri, Mundka"
"Yazaki India",,"Auto & Engineering","",2500,2000,49,Tier2,Penetration,"Chennai, Pune, Bangalore"
"Nexans India",,"Auto & Engineering","",1000,2000,49,Tier2,Penetration,"Mumbai, Faridabad"
"BASF India (Chemicals)",,"Chemical","Mumbai",2000,5000,49,Tier1,Expansion,"Mangalore (KA), Thane (MH)"
"Garden Silk Mills",,"Chemical","Surat",3000,2500,49,Tier2,Expansion,"Surat (GJ), Vapi"
"Rivigo",,"Other","Gurugram",2000,1200,49,Tier2,Penetration,"Pan-India"
"Cosmo Films",,"Chemical","Delhi",1500,2500,49,Tier2,Penetration,"Aurangabad (MH), Waluj"
"Tata Wiron",,"Steel & Metals","Jamshedpur",800,1500,49,Tier2,Penetration,"Pan-India depots"
"Ashirvad Pipes (Aliaxis)",,"Cement","Bangalore",2000,2500,49,Tier2,Expansion,"Bangalore (KA), Ahmedabad, Kolkata, Roorkee"
"Total Energies",,"Other","Mumbai",500,2000,49,Tier2,Penetration,"Mumbai, Chennai"
"Amul (Cattle Feed)",,"Agri & Food","Anand",1500,3500,49,Tier2,Expansion,"Anand (GJ), Mehsana, Banaskantha"
"Sunflag Iron & Steel",,"Steel & Metals","Nagpur",2000,1500,49,Tier2,Expansion,"Bhandara (MH)"
"Import Terminals",,"Chemical","",1000,5000,48,Tier1,Penetration,"Kandla, JNPT, Chennai"
"Indian Rare Earths",,"Other","Mumbai",3500,2000,48,Tier2,Penetration,"Kerala (Chavara), TN (Manavalakurichi), Odisha"
"Dow Coatings",,"Chemical","Mumbai",400,1500,48,Tier2,Penetration,"Taloja (MH)"
"Tata Housing",,"Cement","Mumbai",,,48,Tier2,Penetration,"Pan-India projects"
"Domino's (Jubilant)",,"FMCG","Noida",35000,4500,48,Tier2,Penetration,"Pan-India (commissaries)"
"Danieli India",,"Auto & Engineering","",600,1500,48,Tier2,Penetration,"Kolkata (WB)"
"Elecon Engineering",,"Auto & Engineering","Anand",2500,1800,48,Tier2,Penetration,"Anand (GJ)"
"Metro Cash & Carry",,"FMCG","Bangalore",3000,5000,48,Tier1,Penetration,"Pan-India"
"ABB India (Solar)",,"Other","Bangalore",400,1500,48,Tier2,Penetration,"Bangalore (KA)"
"Wockhardt Ltd",,"FMCG","Mumbai",7000,3500,48,Tier2,Penetration,"Aurangabad (MH), Shendra (MH), Baddi"
"VU Televisions",,"FMCG","Mumbai",500,1500,48,Tier2,Penetration,"Greater Noida (UP)"
"Stovekraft (Pigeon)",,"FMCG","Bangalore",1800,1500,48,Tier2,Penetration,"Bangalore (KA), Baddi (HP)"
"Sarda Mines",,"Other","Raipur",1200,2000,48,Tier2,Penetration,"Odisha, Chhattisgarh"
"Prestige Estates",,"Cement","Bangalore",,,48,Tier2,Penetration,"South India projects"
"Jupiter Wagons",,"Steel & Metals","Kolkata",2500,2000,48,Tier2,Expansion,"Howrah (WB), Jamshedpur (JH)"
"Kinley (HCCB)",,"FMCG","Bangalore",1000,1500,48,Tier2,Penetration,"Pan-India"
"CPCL (IOCL)",,"Other","Chennai",1200,2500,47,Tier2,Penetration,"Chennai (TN)"
"Kirloskar Brothers",,"Auto & Engineering","Pune",4000,5000,47,Tier1,Expansion,"Kirloskarvadi (MH), Dewas (MP)"
"Agarwal Industrial Corp",,"Other","Jodhpur",1000,1500,47,Tier2,Expansion,"Jodhpur (RJ), Ahmedabad, Panipat, Pune, Chennai"
"Mahagrapes",,"Agri & Food","Pune",500,800,47,Tier2,Penetration,"Nashik (MH), Sangli (MH)"
"Chaman Lal Setia",,"FMCG","Amritsar",800,1200,46,Tier2,Penetration,"Amritsar (PB), Karnal (HR)"
"RSMML",,"Other","Udaipur",3000,1800,46,Tier2,Penetration,"Rajasthan (Jhamarkotra, Udaipur)"
"Reliance (Base Oils)",,"Other","Mumbai",300,2500,46,Tier2,Penetration,"Jamnagar"
