Company,Category,Segment,Sub_Segment,Account_Type,HQ,Key_Locations,Sales_Rs_Cr,Employees,Total_Logistics_Spend_Rs_Cr,Priority,tier0_score,tier0_tier
Swiggy (Instamart),FMCG & Consumer,Food Processing,D2C,Penetration,Bangalore,Metro hubs,2000.0,3000.0,30.0,,55,high_priority
Carborundum Universal,Chemicals & Petrochemicals,Graphite Carbon,Industrial,Penetration,Chennai,"Thiruvottiyur, Hosur",3000.0,2500.0,41.0,,55,high_priority
Kalyani Steels,Steel & Metals,Steel Coils,Specialty,Penetration,Pune,Hospet (KA),4500.0,1500.0,30.0,,55,high_priority
Reliance Industries,Energy & Fuel,Bitumen,Refinery,Expansion,Mumbai,"Jamnagar (GJ), Hazira",10000.0,2000.0,140.0,,55,high_priority
Rice Millers (Bran),Agriculture & Food,Animal Feed,Ingredients,Penetration,,Pan-India,15000.0,20000.0,135.0,,55,high_priority
Campus Activewear,Chemicals & Petrochemicals,Rubber Latex,Footwear,Penetration,Delhi,"Dehradun (UK), Bhiwadi (RJ)",1200.0,3500.0,41.0,,55,high_priority
McCain India,FMCG & Consumer,Food Processing,Frozen,Expansion,Gurugram,"Mehsana (GJ), Kheda (GJ)",1500.0,800.0,41.0,,55,high_priority
Mahanadi Coalfields,Energy & Fuel,Coal Fuel,Mining,Penetration,Sambalpur,"Talcher, Sambalpur (OD)",35000.0,25000.0,135.0,,55,high_priority
Bharat Wire Ropes,Steel & Metals,Non Ferrous Metals,Wire Products,Penetration,Mumbai,"Chalisgaon (MH), Jamshedpur (JH)",1200.0,600.0,26.0,,55,high_priority
Steel Mart (SSC),Steel & Metals,Steel Flats Longs,SSC,Penetration,Delhi,"Delhi, Mumbai, Chennai, Ahmedabad",2500.0,800.0,26.0,,55,high_priority
Camlin Fine Sciences,Chemicals & Petrochemicals,Paints Coatings,Antioxidants,Penetration,Mumbai,"Tarapur (MH), Dahej (GJ)",1600.0,1000.0,52.0,,55,high_priority
JSW Steel (Sponge),Steel & Metals,Sponge Pig Iron,Sponge,Penetration,Mumbai,"Vijayanagar (KA), Dolvi (MH)",4000.0,2500.0,83.0,,55,high_priority
Suprajit Engineering,Chemicals & Petrochemicals,Rubber Latex,Cables,Penetration,Bangalore,"Bangalore (KA), Hosur",500.0,1200.0,20.0,,55,high_priority
Ashirvad Pipes (Aliaxis),Chemicals & Petrochemicals,Adhesives Sealants,Buyer,Penetration,Bangalore,"Bangalore, Kolhapur",3000.0,1500.0,10.0,,55,high_priority
Camlin Fine Sciences,Chemicals & Petrochemicals,Specialty Chemicals,Antioxidants,Expansion,Mumbai,"Tarapur (MH), Dahej (GJ)",1600.0,1000.0,52.0,,55,high_priority
Liebherr India,Auto & Engineering,Project Cargo,Cranes/Mining,Penetration,Mumbai,"Pune (MH), Aurangabad",2500.0,1500.0,62.0,,55,high_priority
Cargill India (Foods),FMCG & Consumer,Food Processing,Ingredients,Penetration,Gurugram,"Kurkumbh (MH), Davangere (KA)",5000.0,2000.0,63.0,,55,high_priority
GlaxoSmithKline (Foods),FMCG & Consumer,Food Processing,Health,Penetration,Mumbai,"Sonepat (HR), Rajahmundry (AP)",5000.0,2000.0,63.0,,55,high_priority
Tata Metaliks,Steel & Metals,Steel Coils,Specialty,Penetration,Kolkata,Kharagpur (WB),3500.0,1500.0,23.0,,55,high_priority
Bombardier India,Steel & Metals,Steel Railways,Metro,Penetration,Canada,"Savli (GJ), Vadodara",2500.0,2000.0,63.0,,55,high_priority
Facor Alloys,Steel & Metals,Ferro Alloys,Ferro Chrome,Expansion,Bhubaneswar,"Randia (OD), Shreeramnagar (OD)",700.0,1000.0,23.0,,55,high_priority
John Deere India,Auto & Engineering,Two Wheelers Tractors,Tractors,Penetration,Pune,"Pune (MH), Dewas (MP)",5500.0,3200.0,64.0,,55,high_priority
Ineos Styrolution,Chemicals & Petrochemicals,Petrochemicals Polymers,ABS/PS,Penetration,Vadodara,Vadodara (GJ),2800.0,600.0,61.0,,55,high_priority
Ghaziabad Re-rollers,Steel & Metals,Steel Semi Finished,Buyers,Penetration,UP,Ghaziabad (UP),10000.0,6000.0,64.0,,55,high_priority
Usha International,FMCG & Consumer,Consumer Durables,Appliances,Penetration,Gurugram,"Ludhiana (PB), Solan (HP)",2200.0,2500.0,65.0,,55,high_priority
Chambal Fertilisers (IPL),FMCG & Consumer,Food Grains Staples,Agri Trading,Penetration,Delhi,"Kota (RJ), Delhi, Mumbai",2000.0,500.0,65.0,,55,high_priority
Shyam Ferro Alloys,Steel & Metals,Ferro Alloys,Silico Mn,Expansion,Kolkata,"Sambalpur (OD), Jharsuguda",600.0,800.0,23.0,,55,high_priority
Alkyl Amines,Chemicals & Petrochemicals,Specialty Chemicals,Amines,Penetration,Pune,"Patalganga (MH), Kurkumbh (MH), Dahej",2000.0,1000.0,65.0,,55,high_priority
Siyaram Silk,FMCG & Consumer,Textiles Apparel,Fabrics,Penetration,Mumbai,"Tarapur (MH), Silvassa",2500.0,5000.0,82.0,,55,high_priority
Rossari Biotech,Chemicals & Petrochemicals,Specialty Chemicals,Specialty,Penetration,Mumbai,"Silvassa, Dahej (GJ)",2000.0,1200.0,65.0,,55,high_priority
Caterpillar India,Auto & Engineering,Project Cargo,Mining/Const,Penetration,Chennai,"Thiruvallur (TN), Hosur",4000.0,3000.0,81.0,,55,high_priority
Sunflag Iron,Steel & Metals,Steel Flats Longs,Alloy,Penetration,Nagpur,Bhandara (MH),2500.0,1200.0,20.0,,55,high_priority
Packaging Converters,Chemicals & Petrochemicals,Adhesives Sealants,Packaging,Penetration,,Pan-India,1500.0,5000.0,23.0,,55,high_priority
BASF Coatings,Chemicals & Petrochemicals,Paints Coatings,Industrial,Penetration,Mumbai,"Mangalore (KA), Thane (MH)",1800.0,600.0,61.0,,55,high_priority
Asian Footwears,Chemicals & Petrochemicals,Rubber Latex,Footwear,Penetration,Delhi,"Baddi (HP), Bahadurgarh",600.0,2500.0,23.0,,55,high_priority
Monnet Ispat,Steel & Metals,Steel Flats Longs,Integrated,Penetration,Delhi,"Raipur (CG), Raigarh (CG)",2500.0,1200.0,20.0,,55,high_priority
Zuari Agro Chemicals,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Delhi,"Goa, Gurugram",4500.0,1800.0,86.0,,55,high_priority
IOL Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Ibuprofen,Penetration,Ludhiana,"Barnala (PB), Ludhiana (PB)",2800.0,1500.0,86.0,,55,high_priority
Parle Products,FMCG & Consumer,Dairy Products,Buyer,Penetration,Mumbai,Pan-India,10000.0,5000.0,24.0,,55,high_priority
MMRCL,Steel & Metals,Steel Railways,Metro,Penetration,Mumbai,Mumbai projects,8000.0,3000.0,85.0,,55,high_priority
SGL Carbon India,Chemicals & Petrochemicals,Graphite Carbon,Specialty,Expansion,,Bangalore,1500.0,600.0,23.0,,55,high_priority
SAIL (Captive),Steel & Metals,Ferro Alloys,Multi,Penetration,Delhi,All integrated plants,2000.0,2000.0,59.0,,55,high_priority
Kamdhenu Ispat,Steel & Metals,Steel Wire Products,Wire,Penetration,Delhi,"Bhiwadi (RJ), Ludhiana, Haridwar",600.0,800.0,23.0,,55,high_priority
Motherson Group,Auto & Engineering,Auto Components Batteries,,Expansion,Noida,,98692.0,,0.0,,55,high_priority
Bedmutha Industries,Steel & Metals,Steel Wire Products,Drawing,Expansion,Nashik,"Nashik (MH), Nagpur (MH)",600.0,800.0,23.0,,55,high_priority
Visa Steel,Steel & Metals,Steel Flats Longs,Integrated,Penetration,Kolkata,Kalinganagar (OD),2500.0,1200.0,20.0,,55,high_priority
Rail Coach Factory,Steel & Metals,Steel Railways,Coaches,Penetration,Kapurthala,Kapurthala (PB),2500.0,6000.0,61.0,,55,high_priority
BMRCL,Steel & Metals,Steel Railways,Metro,Penetration,Bangalore,Bangalore projects,5000.0,2000.0,60.0,,55,high_priority
Reliance (Chemicals),Chemicals & Petrochemicals,Acids Solvents,Multi,Penetration,Mumbai,"Jamnagar (GJ), Dahej",8000.0,3000.0,83.0,,55,high_priority
Fertilisers & Chem Travancore,Chemicals & Petrochemicals,Fertilizers,PSU,Penetration,Kochi,Udyogamandal (KL),3200.0,2500.0,61.0,,55,high_priority
Monnet Ispat,Steel & Metals,Steel Coils,Integrated,Penetration,Delhi,"Raipur (CG), Raigarh (CG)",3000.0,1500.0,20.0,,55,high_priority
Electrolux India,FMCG & Consumer,Consumer Durables,White Goods,Penetration,Gurugram,Roorkee (UK),2000.0,1200.0,61.0,,55,high_priority
Ambika Cotton,FMCG & Consumer,Textiles Apparel,Yarn,Penetration,Dindigul,"Dindigul (TN), Coimbatore (TN)",1800.0,4000.0,61.0,,55,high_priority
Indorama (Petrochem),Chemicals & Petrochemicals,Synthetic Fibres,Polyester,Penetration,Thailand,"Tuticorin (TN), Haldia (WB)",5000.0,2000.0,83.0,,55,high_priority
Sunflag Iron & Steel,Steel & Metals,Steel Coils,Alloy,Penetration,Nagpur,Bhandara (MH),2500.0,1200.0,20.0,,55,high_priority
GHCL (Home Textiles),FMCG & Consumer,Textiles Apparel,Home Textiles,Penetration,Noida,"Vapi (GJ), Mansa (GJ)",1800.0,5000.0,61.0,,55,high_priority
Dollar Industries,FMCG & Consumer,Textiles Apparel,Innerwear,Penetration,Kolkata,"Kolkata (WB), Tirupur (TN)",1800.0,8000.0,65.0,,55,high_priority
LT Foods,FMCG & Consumer,Food Processing,Rice,Penetration,Gurugram,"Bahalgarh (HR), Sonepat",6500.0,3000.0,80.0,,55,high_priority
Vadilal Industries,FMCG & Consumer,Dairy Products,Ice Cream,Penetration,Ahmedabad,"Ahmedabad (GJ), Kolkata, Delhi",2000.0,1000.0,24.0,,55,high_priority
Nitin Spinners,FMCG & Consumer,Textiles Apparel,Yarn,Penetration,Bhilwara,"Bhilwara (RJ), Hamirgarh (RJ)",2200.0,5500.0,72.0,,55,high_priority
Maithan Alloys,Steel & Metals,Steel Structural,Ferro Alloy,Penetration,Kolkata,"Kalyaneshwari (WB), Vishakhapatnam (AP)",2500.0,1200.0,23.0,,55,high_priority
Bharat Biotech,FMCG & Consumer,Pharma Healthcare,Vaccines,Penetration,Hyderabad,"Hyderabad (TS), Ankleshwar (GJ)",5000.0,4000.0,70.0,,55,high_priority
Gits Food Products,FMCG & Consumer,Food Grains Staples,RTC/Staples,Penetration,Mumbai,"Mumbai, Ahmedabad",600.0,800.0,23.0,,55,high_priority
Modern Coach Factory,Steel & Metals,Steel Railways,Coaches,Penetration,Rae Bareli,Rae Bareli (UP),3000.0,5000.0,70.0,,55,high_priority
CNH (New Holland),Auto & Engineering,Two Wheelers Tractors,Tractors,Penetration,Noida,Greater Noida (UP),6000.0,2800.0,70.0,,55,high_priority
Madras Aluminium (MALCO),Mining & Minerals,Mining Minerals,Bauxite,Penetration,Chennai,"Tamil Nadu (Kolli Hills, Salem)",800.0,1000.0,22.0,,55,high_priority
Okinawa Autotech,Auto & Engineering,Auto Oem,EV 2W,Penetration,Gurugram,Bhiwadi (RJ),900.0,600.0,22.0,,55,high_priority
KRBL,FMCG & Consumer,Food Processing,Rice,Penetration,Delhi,"Ghaziabad (UP), Dhuri (PB)",5500.0,2500.0,71.0,,55,high_priority
Suzuki Motorcycle,Auto & Engineering,Two Wheelers Tractors,2W,Penetration,Delhi,Gurugram (HR),6500.0,2800.0,72.0,,55,high_priority
Atul Auto,Auto & Engineering,Two Wheelers Tractors,3W,Penetration,Rajkot,Rajkot (GJ),1200.0,1100.0,22.0,,55,high_priority
Granules India,FMCG & Consumer,Pharma Healthcare,API/Formulations,Penetration,Hyderabad,"Hyderabad (TS), Gagillapur (TS)",5000.0,5500.0,69.0,,55,high_priority
Optiemus Electronics,FMCG & Consumer,Consumer Durables,EMS,Penetration,Noida,"Noida (UP), Greater Noida",2500.0,2000.0,72.0,,55,high_priority
Cairn Oil & Gas,Energy & Fuel,Oil Gas Services,E&P,Expansion,Gurugram,"Barmer (RJ), Ravva, Cambay",25000.0,3000.0,72.0,,55,high_priority
BigBasket (Tata),FMCG & Consumer,Food Processing,D2C,Penetration,Bangalore,Metro hubs,8000.0,10000.0,72.0,,55,high_priority
Bosch Home,FMCG & Consumer,Consumer Durables,Appliances,Penetration,Bangalore,Chennai (TN),2500.0,1500.0,73.0,,55,high_priority
BEML (Rail),Steel & Metals,Steel Railways,Metro/Coaches,Penetration,Bangalore,"Bangalore (KA), Palakkad (KL)",3500.0,5000.0,75.0,,55,high_priority
BPL Medical,FMCG & Consumer,Pharma Healthcare,Medical Devices,Penetration,Bangalore,"Bangalore (KA), Palakkad (KL)",600.0,1500.0,10.5,,55,high_priority
NCRTC (RRTS),Steel & Metals,Steel Railways,High Speed,Penetration,Delhi,Delhi-NCR,6000.0,2000.0,73.0,,55,high_priority
Isgec Heavy Engineering,Auto & Engineering,Project Cargo,Boilers,Penetration,Noida,"Yamunanagar (HR), Dahej (GJ)",4000.0,5000.0,73.0,,55,high_priority
Diesel Locomotive Works,Steel & Metals,Steel Railways,Loco,Penetration,Varanasi,Varanasi (UP),3000.0,7000.0,73.0,,55,high_priority
Covestro India,Chemicals & Petrochemicals,Paints Coatings,Polyurethanes,Penetration,Mumbai,"Ankleshwar (GJ), Greater Noida",2200.0,600.0,69.0,,55,high_priority
Visa Steel,Steel & Metals,Steel Structural,Integrated,Penetration,Kolkata,Kalinganagar (OD),2500.0,1200.0,23.0,,55,high_priority
Madras Fertilizers,Chemicals & Petrochemicals,Fertilizers,PSU,Penetration,Chennai,Manali (TN),3500.0,2000.0,66.0,,55,high_priority
Kiri Industries,Chemicals & Petrochemicals,Specialty Chemicals,Dyes,Penetration,Ahmedabad,"Vadodara (GJ), Ahmedabad",2400.0,1800.0,77.0,,55,high_priority
Prysmian India,Auto & Engineering,Wires Cables,Power,Penetration,,"Chennai (TN), Bangalore",3000.0,1500.0,66.0,,55,high_priority
Wolkem India,Mining & Minerals,Industrial Minerals,Wollastonite,Expansion,Udaipur,"Udaipur (RJ), Dungarpur",500.0,800.0,20.0,,55,high_priority
Tata Steel (Pig),Steel & Metals,Sponge Pig Iron,Pig Iron,Penetration,Jamshedpur,"Jamshedpur (JH), Kalinganagar (OD)",3000.0,2000.0,66.0,,55,high_priority
Tata Hitachi,Auto & Engineering,Project Cargo,Excavators,Penetration,Mumbai,"Kharagpur (WB), Dharwad (KA)",4000.0,3500.0,78.0,,55,high_priority
MSP Steel,Steel & Metals,Steel Semi Finished,Secondary,Expansion,Kolkata,"Raigarh (CG), Jamuria (WB)",2000.0,1000.0,20.0,,55,high_priority
Chittaranjan Loco Works,Steel & Metals,Steel Railways,Loco,Penetration,Chittaranjan,Chittaranjan (WB),2500.0,8000.0,66.0,,55,high_priority
Shakti Bhog,FMCG & Consumer,Food Grains Staples,Flour/Atta,Penetration,Delhi,"Delhi, Rajasthan",600.0,800.0,23.0,,55,high_priority
Himadri Speciality,Chemicals & Petrochemicals,Specialty Chemicals,Carbon,Penetration,Kolkata,"Mahistikry (WB), Visakhapatnam (AP)",2500.0,1800.0,77.0,,55,high_priority
Orissa Sponge Iron,Steel & Metals,Sponge Pig Iron,Sponge,Expansion,Bhubaneswar,Joda (OD),800.0,600.0,23.0,,55,high_priority
Tata Steel Mining,Steel & Metals,Steel Coils,Captive,Penetration,Jamshedpur,"Joda (OD), Noamundi (JH)",5000.0,3000.0,23.0,,55,high_priority
Prince Pipes,Chemicals & Petrochemicals,Adhesives Sealants,Buyer,Penetration,Mumbai,Pan-India,3500.0,2000.0,11.0,,55,high_priority
Visa Steel,Steel & Metals,Steel Semi Finished,Integrated,Penetration,Kolkata,Kalinganagar (OD),2500.0,1200.0,23.0,,55,high_priority
Volvo CE India,Auto & Engineering,Project Cargo,Construction,Penetration,Bangalore,Bangalore (KA),3000.0,2000.0,68.0,,55,high_priority
Rungta Steel,Steel & Metals,Steel Semi Finished,Secondary,Penetration,Kolkata,"Barbil (OD), Giridih (JH)",2500.0,1200.0,23.0,,55,high_priority
SABIC India,Chemicals & Petrochemicals,Petrochemicals Polymers,Engineering Plastics,Penetration,Riyadh,"Chennai, Vadodara",3500.0,800.0,77.0,,55,high_priority
Linde Engineering,Auto & Engineering,Project Cargo,Process,Penetration,Mumbai,"Vadodara (GJ), Pune",3000.0,1500.0,68.0,,55,high_priority
Mangalore Chemicals,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Mangalore,Mangalore (KA),4200.0,1200.0,77.0,,55,high_priority
Matix Fertilisers,Chemicals & Petrochemicals,Fertilizers,Private,Penetration,Kolkata,Panagarh (WB),4000.0,1200.0,77.0,,55,high_priority
Foundry Cluster (Coimbatore),Steel & Metals,Metal Scrap,Buyers,Penetration,Coimbatore,Coimbatore (TN),5000.0,20000.0,68.0,,55,high_priority
SP Apparels,FMCG & Consumer,Textiles Apparel,Garments,Penetration,Tirupur,"Tirupur (TN), Avinashi (TN)",2000.0,15000.0,69.0,,55,high_priority
Ajax Engineering,Auto & Engineering,Construction Mining Equipment,,Penetration,Bengaluru,,900.0,1200.0,0.0,MEDIUM,55,high_priority
OK Play India,Chemicals & Petrochemicals,Rubber Latex,Rotomoulded,Penetration,Delhi,"Bhiwadi (RJ), Haridwar, Chennai",500.0,800.0,20.0,,55,high_priority
Lotte Chemical (ex-LG),Chemicals & Petrochemicals,Petrochemicals Polymers,ABS/PS,Penetration,Vizag,Vizag (AP),3500.0,800.0,77.0,,55,high_priority
Tata Steel BSL,Steel & Metals,Steel Flats Longs,Integrated,Penetration,Kolkata,Angul (OD),10000.0,4000.0,58.0,,55,high_priority
Sanofi India,FMCG & Consumer,Pharma Healthcare,MNC Formulations,Penetration,Mumbai,"Goa, Ankleshwar (GJ)",3500.0,3000.0,53.0,,55,high_priority
MSTC Ltd,Steel & Metals,Metal Scrap,Trading,Penetration,Kolkata,Pan-India,8000.0,1500.0,90.0,,55,high_priority
AM/NS (Sponge),Steel & Metals,Sponge Pig Iron,Sponge,Penetration,Mumbai,Hazira (GJ),2500.0,1500.0,58.0,,55,high_priority
Integral Coach Factory,Steel & Metals,Steel Railways,Coaches,Penetration,Chennai,Chennai (TN),4000.0,10000.0,87.0,,55,high_priority
Alok Industries,Chemicals & Petrochemicals,Synthetic Fibres,Polyester,Penetration,Mumbai,"Silvassa, Vapi (GJ)",3000.0,10000.0,58.0,,55,high_priority
KS Oils,FMCG & Consumer,Edible Oils,Multi,Penetration,Morena,"Morena (MP), Gwalior, Delhi",2000.0,1000.0,58.0,,55,high_priority
IOCL (Chemicals),Chemicals & Petrochemicals,Acids Solvents,Multi,Penetration,Delhi,Refineries,5000.0,2000.0,58.0,,55,high_priority
Mahindra Ugine (SMP),Steel & Metals,Ferro Alloys,Specialty,Expansion,Mumbai,"Khopoli (MH), Nashik",800.0,1000.0,26.0,,55,high_priority
Hitachi Energy,Auto & Engineering,Project Cargo,Transformers,Penetration,Zurich,"Vadodara (GJ), Bangalore",5000.0,3500.0,87.0,,55,high_priority
Visa Steel,Steel & Metals,Steel Coils,Integrated,Penetration,Kolkata,Kalinganagar (OD),4000.0,1800.0,25.0,,55,high_priority
Electrosteel,Steel & Metals,Steel Semi Finished,Integrated,Penetration,Kolkata,Bokaro (JH),3000.0,1500.0,25.0,,55,high_priority
Universal Cables,Auto & Engineering,Wires Cables,Power,Penetration,Satna,"Satna (MP), Kharagpur (WB)",2500.0,2000.0,58.0,,55,high_priority
Mukand Ltd,Steel & Metals,Steel Coils,Specialty,Penetration,Mumbai,"Thane (MH), Hospet (KA)",3500.0,2000.0,25.0,,55,high_priority
Inox Wind,Auto & Engineering,Project Cargo,Wind,Penetration,Ahmedabad,"Ahmedabad (GJ), Rajasthan",2500.0,2000.0,87.0,,55,high_priority
Swaraj (M&M),Auto & Engineering,Two Wheelers Tractors,Tractors,Penetration,Mohali,Mohali (PB),5000.0,2500.0,58.0,,55,high_priority
Prince Pipes,Building & Construction,Pipes Fittings,PVC/CPVC,Expansion,Mumbai,"Haridwar (UK), Jobner (RJ), Chennai, Kolhapur, Athal",3000.0,2500.0,58.0,,55,high_priority
Auto Dismantlers (Chennai),Steel & Metals,Metal Scrap,Auto,Penetration,Chennai,Chennai,1000.0,1500.0,25.0,,55,high_priority
RINL (Vizag Steel),Steel & Metals,Steel Structural,Integrated,Penetration,Vizag,Visakhapatnam (AP),8000.0,5000.0,58.0,,55,high_priority
Butterfly Gandhimathi,FMCG & Consumer,Consumer Durables,Kitchen,Penetration,Chennai,"Chennai (TN), Puducherry",1800.0,2000.0,55.0,,55,high_priority
JSPL (Scrap),Steel & Metals,Metal Scrap,Buyer,Expansion,Delhi,"Raigarh (CG), Angul (OD)",2500.0,800.0,56.0,,55,high_priority
Kirloskar Oil Engines,Auto & Engineering,Two Wheelers Tractors,Farm Equipment,Penetration,Pune,"Pune (MH), Kagal (MH)",4500.0,3000.0,56.0,,55,high_priority
GSK Pharma India,FMCG & Consumer,Pharma Healthcare,MNC Formulations,Penetration,Mumbai,"Nashik (MH), Vemgal (KA)",4000.0,3500.0,56.0,,55,high_priority
Hindustan Syringes,FMCG & Consumer,Pharma Healthcare,Medical Devices,Penetration,Faridabad,"Faridabad (HR), Ballabgarh",900.0,2500.0,18.0,,55,high_priority
CEAT Ltd,Auto & Engineering,Tyres,Multi,Expansion,Mumbai,"Nagpur, Nashik, Halol, Ambernath",12000.0,,90.0,,55,high_priority
Prabhat Dairy,FMCG & Consumer,Dairy Products,West,Expansion,Mumbai,"Shrirampur (MH), Vilholi (MH)",1200.0,800.0,18.0,,55,high_priority
Southern Petrochemical,Chemicals & Petrochemicals,Fertilizers,PSU,Penetration,Chennai,Tuticorin (TN),2800.0,1800.0,55.0,,55,high_priority
Kisan Mouldings,Chemicals & Petrochemicals,Adhesives Sealants,Buyer,Penetration,Mumbai,"Silvassa, Mumbai",2500.0,1200.0,9.0,,55,high_priority
Mukand Ltd,Steel & Metals,Steel Flats Longs,Specialty,Penetration,Mumbai,"Thane (MH), Hospet (KA)",3500.0,2000.0,25.0,,55,high_priority
Kitex Garments,FMCG & Consumer,Textiles Apparel,Garments,Penetration,Kochi,"Kizhakkambalam (KL), Anna Nagar (KL)",1500.0,15000.0,55.0,,55,high_priority
Gopaljee (Ananda),FMCG & Consumer,Dairy Products,Private,Penetration,Agra,"Noida, Agra, Lucknow",1500.0,800.0,18.0,,55,high_priority
Ramkrishna Forgings,Steel & Metals,Steel Railways,Forgings,Penetration,Kolkata,"Jamshedpur (JH), Kolkata",2500.0,2500.0,54.0,,55,high_priority
EMCO Transformers,Auto & Engineering,Project Cargo,Transformers,Penetration,Jaipur,Jaipur (RJ),2000.0,2500.0,54.0,,55,high_priority
Foundry Cluster (Rajkot),Steel & Metals,Metal Scrap,Buyers,Penetration,Rajkot,Rajkot (GJ),4000.0,12000.0,56.0,,55,high_priority
Maharashtra Seamless,Steel & Metals,Steel Pipes Tubes,Seamless,Penetration,Nagpur,"Nagpur (MH), Raigad (MH)",4500.0,1800.0,58.0,,55,high_priority
Prakash Industries,Steel & Metals,Sponge Pig Iron,Sponge,Penetration,Noida,"Champa (CG), Siltara",2500.0,2000.0,58.0,,55,high_priority
Atul Auto,Auto & Engineering,Auto Oem,3W,Penetration,Rajkot,Rajkot (GJ),1200.0,1000.0,19.0,,55,high_priority
Blinkit (Zomato),FMCG & Consumer,Food Processing,D2C,Penetration,Gurugram,Metro hubs,1500.0,2500.0,26.0,,55,high_priority
Electrosteel (TMT),Steel & Metals,Steel Structural,Integrated,Penetration,Kolkata,Bokaro (JH),3000.0,1500.0,26.0,,55,high_priority
Hindalco (Conductors),Auto & Engineering,Wires Cables,Raw Material,Penetration,Mumbai,"Renukoot (UP), Hirakud (OD)",3000.0,1500.0,53.0,,55,high_priority
Mahagenco,Building & Construction,Ash Infrastructure,Generation,Expansion,Mumbai,"Chandrapur, Koradi, Khaparkheda, Bhusawal, Nashik",,15000.0,53.0,,55,high_priority
TIL Limited,Auto & Engineering,Construction Mining Equipment,,Penetration,Kolkata,,600.0,1500.0,0.0,MEDIUM,55,high_priority
Bodal Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Dyes,Penetration,Ahmedabad,"Vadodara (GJ), Saykha (GJ)",1600.0,2200.0,52.0,,55,high_priority
Mandhana Industries,Chemicals & Petrochemicals,Synthetic Fibres,Yarn/Fabrics,Penetration,Mumbai,"Tarapur (MH), Santacruz",800.0,2000.0,26.0,,55,high_priority
Cochin Rubber,Chemicals & Petrochemicals,Rubber Latex,Plantation,Penetration,Kochi,Kerala estates,300.0,3000.0,9.0,,55,high_priority
Rasi Seeds,Chemicals & Petrochemicals,Agrochemicals,Seeds,Penetration,Salem,"Attur (TN), Hyderabad (TS)",600.0,1200.0,24.0,,55,high_priority
Adhunik Metaliks,Steel & Metals,Steel Flats Longs,Re-roller,Penetration,Kolkata,Rourkela (OD),1800.0,900.0,14.0,,50,high_priority
Valiant Organics,Chemicals & Petrochemicals,Specialty Chemicals,Chlorination,Penetration,Mumbai,"Vapi (GJ), Jhagadia (GJ)",900.0,600.0,31.0,,50,high_priority
Nippon Carbon India,Chemicals & Petrochemicals,Graphite Carbon,Specialty,Expansion,,Pune,400.0,120.0,7.0,,50,high_priority
Alkyl Amines,Chemicals & Petrochemicals,Acids Solvents,Amines,Penetration,Pune,"Kurkumbh (MH), Patalganga",1800.0,1000.0,26.0,,50,high_priority
Opto Circuits,FMCG & Consumer,Pharma Healthcare,Medical Devices,Penetration,Bangalore,Bangalore (KA),400.0,800.0,7.0,,50,high_priority
Devans Modern Breweries,FMCG & Consumer,Beverages,Beer,Penetration,Jammu,"Jammu, Solan (HP)",400.0,600.0,15.0,,50,high_priority
Shri Bajrang Power,Steel & Metals,Sponge Pig Iron,Sponge,Penetration,Raipur,"Raipur (CG), Chandrapur (MH)",1000.0,800.0,26.0,,50,high_priority
IREL (Indian Rare Earths),Chemicals & Petrochemicals,Rubber Latex,Latex,Penetration,Mumbai,"Chavara (KL), Manavalakurichi (TN)",600.0,1000.0,23.0,,50,high_priority
SAIL CPP,Building & Construction,Ash Infrastructure,Generator,Penetration,Delhi,"Bhilai, Bokaro, Rourkela, Durgapur, Burnpur",,3000.0,21.0,,50,high_priority
SEC Industries,Chemicals & Petrochemicals,Graphite Carbon,Carbon,Expansion,Vadodara,"Vadodara (GJ), Silvassa",800.0,400.0,13.0,,50,high_priority
Tata Cliq/Croma,E-commerce & Retail,Ecommerce Retail,Omnichannel,Expansion,Mumbai,Pan-India,12000.0,8000.0,12.0,,50,high_priority
Ankur Seeds,Chemicals & Petrochemicals,Agrochemicals,Seeds,Penetration,Nagpur,"Nagpur (MH), Hyderabad (TS)",500.0,700.0,21.0,,50,high_priority
GRM Overseas,FMCG & Consumer,Food Processing,Rice,Penetration,Panipat,"Panipat (HR), Karnal",2000.0,800.0,31.0,,50,high_priority
TANGEDCO,Building & Construction,Ash Infrastructure,Generation,Expansion,Chennai,"Tuticorin, Mettur, Ennore, North Chennai",,12000.0,26.0,,50,high_priority
Sudal Industries,Steel & Metals,Non Ferrous Metals,Al Extrusions,Penetration,Delhi,"Pithampur (MP), Haridwar (UK)",450.0,350.0,10.0,,50,high_priority
Chitale Dairy,FMCG & Consumer,Dairy Products,Traditional,Penetration,Sangli,"Bhilawadi (MH), Sangli",1200.0,600.0,15.0,,50,high_priority
Kirloskar Ferrous,Steel & Metals,Steel Coils,Pig Iron,Penetration,Bangalore,Koppal (KA),1500.0,800.0,13.0,,50,high_priority
Nuberg Engineering,Auto & Engineering,Project Cargo,Modular Plants,Penetration,Noida,"Noida (UP), Dahej (GJ)",1000.0,800.0,35.0,,50,high_priority
Lloyds Line Pipes,Steel & Metals,Steel Pipes Tubes,LSAW,Penetration,Mumbai,Wardha (MH),1500.0,600.0,21.0,,50,high_priority
